"Year","Area (use fill down)","Street (use find and replace to replace the odd character with a space)","Street 2 (in Refine use titlecase and cluster and edit)","Strange HTML (use unescape HTML)"
2012,"Birmingham","Coton Lane, Erdington, B'ham","Coton Lane, Erdington, B'ham","NA"
2012,"Birmingham","Cottishall Walk","Cottishall Walk","NA"
2012,"Birmingham","Court Lane","Court Lane","NA"
2012,"Birmingham","COurt Lane","COurt Lane","NA"
2012,"Birmingham","DUKE STREET","DUKE STREET","NA"
2012,"Birmingham","Ebrook Road, Sutton Coldfield","Ebrook Road, Sutton Coldfield","NA"
2012,"Birmingham","Emscote Road","Emscote Road","NA"
2012,"Birmingham","Erdington High Street","Erdington High Street","NA"
2012,"Birmingham","Erdington High Street","Erdington High Street","NA"
2012,"Birmingham","Erdington High Street","Erdington High Street","NA"
2012,"Birmingham","Firbeck Grove","Firbeck Grove","NA"
2012,"Birmingham","FRANCES ROAD ERDINGTON","FRANCES ROAD ERDINGTON","NA"
2012,"Birmingham","Front Odffice Sutton Coldfield","Front Odffice Sutton Coldfield","NA"
2012,"Birmingham","Good Hope Hospital","Good Hope Hospital","NA"
2012,"Birmingham","Gracechuch Shopping Centre, Sutton Coldfield","Gracechuch Shopping Centre, Sutton Coldfield","NA"
2012,"Birmingham","Gravelly Hill","Gravelly Hill","NA"
2012,"Birmingham","Hairy Lemon, Erdington High Street.","Hairy Lemon, Erdington High Street.","NA"
2012,"Birmingham","HAIRY LEMON. Lower Parade","HAIRY LEMON. Lower Parade","NA"
2012,"Birmingham","HAIRY LEMON. Lower Parade","HAIRY LEMON. Lower Parade","NA"
2012,"Birmingham","Hampton Road, Erdington, B'ham","Hampton Road, Erdington, B'ham","NA"
2012,"Birmingham","Hellbey Close","Hellbey Close","NA"
2012,"Birmingham","High st . sutton coldfield","High st . sutton coldfield","NA"
2012,"Birmingham","High St Erdington","High St Erdington","NA"
2012,"Birmingham","High Street, Erdington","High Street, Erdington","NA"
2012,"Birmingham","High Street, Erdington","High Street, Erdington","NA"
2012,"Birmingham","High Street, Erdington","High Street, Erdington","NA"
2012,"Birmingham","HIGH STREET, ERDINGTON","HIGH STREET, ERDINGTON","NA"
2012,"Birmingham","HIGH STREET, ERDINGTON","HIGH STREET, ERDINGTON","NA"
2012,"Birmingham","HIGH STREET, ERDINGTON","HIGH STREET, ERDINGTON","NA"
2012,"Birmingham","HIGH STREET, ERDINGTON","HIGH STREET, ERDINGTON","NA"
2012,"Birmingham","HIGH STREET, ERDINGTON","HIGH STREET, ERDINGTON","NA"
2012,"Birmingham","HIGH STREET, ERDINGTON","HIGH STREET, ERDINGTON","NA"
2012,"Birmingham","HIGH STREET, ERDINGTON","HIGH STREET, ERDINGTON","NA"
2012,"Birmingham","High street, erdington.","High street, erdington.","NA"
2012,"Birmingham","High Street, West Bromwich","High Street, West Bromwich","NA"
2012,"Birmingham","High Street, West Bromwich","High Street, West Bromwich","NA"
2012,"Birmingham","High Street, West Bromwich","High Street, West Bromwich","NA"
2012,"Birmingham","Inland Road, Erdington, B'ham","Inland Road, Erdington, B'ham","NA"
2012,"Birmingham","Job Centre, Sutton New Road, Erdington","Job Centre, Sutton New Road, Erdington","NA"
2012,"Birmingham","Johnson Road, Erdington, Birmingham","Johnson Road, Erdington, Birmingham","NA"
2012,"Birmingham","Johnson Road, Erdington, Birmingham.","Johnson Road, Erdington, Birmingham.","NA"
2012,"Birmingham","Kings Rd","Kings Rd","NA"
2012,"Birmingham","KINGSBURY ROAD, CASTLE VALE","KINGSBURY ROAD, CASTLE VALE","NA"
2012,"Birmingham","Lichfield rd","Lichfield rd","NA"
2012,"Birmingham","Lichfield Road","Lichfield Road","NA"
2012,"Birmingham","Lichfield Road, Sutton Coldfield","Lichfield Road, Sutton Coldfield","NA"
2012,"Birmingham","Lichfield Road, Sutton Coldfield","Lichfield Road, Sutton Coldfield","NA"
2012,"Birmingham","Litten Tree PH Sutton Town Centre","Litten Tree PH Sutton Town Centre","NA"
2012,"Birmingham","Lower Parade","Lower Parade","NA"
2012,"Birmingham","LOWER PARADE","LOWER PARADE","NA"
2012,"Birmingham","Lower parade","Lower parade","NA"
2012,"Birmingham","LOWER PARADE","LOWER PARADE","NA"
2012,"Birmingham","Lower Parade","Lower Parade","NA"
2012,"Birmingham","Lower parade , sutton coldfield","Lower parade , sutton coldfield","NA"
2012,"Birmingham","Lower Parade Sutton Coldfield","Lower Parade Sutton Coldfield","NA"
2012,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2012,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2012,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2012,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2012,"Birmingham","Lower Parade, Sutton Coldfield","Lower Parade, Sutton Coldfield","NA"
2012,"Birmingham","Lower Parade, Sutton Coldfield, Birmingham","Lower Parade, Sutton Coldfield, Birmingham","NA"
2012,"Birmingham","Lower Parade, Sutton Coldfield.","Lower Parade, Sutton Coldfield.","NA"
2012,"Birmingham","Lower parade, Sutton town centre","Lower parade, Sutton town centre","NA"
2012,"Birmingham","Madehurst Road, erdington","Madehurst Road, erdington","NA"
2012,"Birmingham","MARROWFAT RAOD, HANDSWORTH","MARROWFAT RAOD, HANDSWORTH","NA"
2012,"Birmingham","Marsh hill , Erdington. ( BN )","Marsh hill , Erdington. ( BN )","NA"
2012,"Birmingham","Marsh lane, Erdington, B'ham","Marsh lane, Erdington, B'ham","NA"
2012,"Birmingham","MERE GREEN ISLAND LICHFIELD ROAD","MERE GREEN ISLAND LICHFIELD ROAD","NA"
2012,"Birmingham","Mill Avenue","Mill Avenue","NA"
2012,"Birmingham","Mill st @ high street","Mill st @ high street","NA"
2012,"Birmingham","New Street","New Street","NA"
2012,"Birmingham","New Street Station","New Street Station","NA"
2012,"Birmingham","Newdigate Road","Newdigate Road","NA"
2012,"Birmingham","Newhall Carpark","Newhall Carpark","NA"
2012,"Birmingham","Newhall Walk, Sutton Coldfield","Newhall Walk, Sutton Coldfield","NA"
2012,"Birmingham","Normanton Tower, Beechmount Drive, Erdington, Birmingham","Normanton Tower, Beechmount Drive, Erdington, Birmingham","NA"
2012,"Birmingham","North Holt Road","North Holt Road","NA"
2012,"Birmingham","NORTHOLT DRIVE","NORTHOLT DRIVE","NA"
2012,"Birmingham","O/S H/A","O/S H/A","NA"
2012,"Birmingham","O/s Hairy Lemon PH","O/s Hairy Lemon PH","NA"
2012,"Birmingham","O/S Kings Arms PH, Coleshill Road","O/S Kings Arms PH, Coleshill Road","NA"
2012,"Birmingham","O/S Kings Arms PH, Coleshill Road","O/S Kings Arms PH, Coleshill Road","NA"
2012,"Birmingham","O/S LITTEN TREE","O/S LITTEN TREE","NA"
2012,"Birmingham","O/S MOO MOOS south parade","O/S MOO MOOS south parade","NA"
2012,"Birmingham","O/s MooMoo Club, Sutton Town Centre","O/s MooMoo Club, Sutton Town Centre","NA"
2012,"Birmingham","O/S MooMoos night club, South parade","O/S MooMoos night club, South parade","NA"
2012,"Birmingham","O/S MooMoos, Lower parade, Sutton Town Centre","O/S MooMoos, Lower parade, Sutton Town Centre","NA"
2012,"Birmingham","O/S Station PH","O/S Station PH","NA"
2012,"Birmingham","O/S Temple Bar, S/C Town Centre","O/S Temple Bar, S/C Town Centre","NA"
2012,"Birmingham","Orphanage rd","Orphanage rd","NA"
2012,"Birmingham","Outside Bagot Arms, Chester Road, Pype Hayes","Outside Bagot Arms, Chester Road, Pype Hayes","NA"
2012,"Birmingham","OUTSIDE CITY VIEW, ERDINGTON","OUTSIDE CITY VIEW, ERDINGTON","NA"
2012,"Birmingham","Outside HIRY LEMON, Sutton Town Crntr","Outside HIRY LEMON, Sutton Town Crntr","NA"
2012,"Birmingham","Outside home address","Outside home address","NA"
2012,"Birmingham","Outside home address","Outside home address","NA"
2012,"Birmingham","Outside Home Address","Outside Home Address","NA"
2012,"Birmingham","OUTSIDE LITTEN TREE, BIRMINGHAM ROAD","OUTSIDE LITTEN TREE, BIRMINGHAM ROAD","NA"
2012,"Birmingham","Outside MooMoo's Bar, South Parade, Sutton Coldfield","Outside MooMoo's Bar, South Parade, Sutton Coldfield","NA"
2012,"Birmingham","Outside MooMoo's Bar, South Parade, Sutton Coldfield.","Outside MooMoo's Bar, South Parade, Sutton Coldfield.","NA"
2012,"Birmingham","OUTSIDE NEW STREET STATION, BIRMINGHAM CITY CENTRE","OUTSIDE NEW STREET STATION, BIRMINGHAM CITY CENTRE","NA"
2012,"Birmingham","Outside Temple bar, Lower Parade, Sutton Coldfield","Outside Temple bar, Lower Parade, Sutton Coldfield","NA"
2012,"Birmingham","Outside The Swan Public house, High Street, Erdington","Outside The Swan Public house, High Street, Erdington","NA"
2012,"Birmingham","Outside the Temple Bar, Sutton Coldfield town centre.","Outside the Temple Bar, Sutton Coldfield town centre.","NA"
2012,"Birmingham","Parade sutton","Parade sutton","NA"
2012,"Birmingham","Parade Sutton coldfield","Parade Sutton coldfield","NA"
2012,"Birmingham","Parade Sutton coldfield","Parade Sutton coldfield","NA"
2012,"Birmingham","Parade Sutton coldfield Town Centre","Parade Sutton coldfield Town Centre","NA"
2012,"Birmingham","Parade, sutton coldfield","Parade, sutton coldfield","NA"
2012,"Birmingham","Rectory Road, Sutton Coldfield","Rectory Road, Sutton Coldfield","NA"
2012,"Birmingham","Reddicap Hill","Reddicap Hill","NA"
2012,"Birmingham","Redwing Grove, Erdington, B'ham","Redwing Grove, Erdington, B'ham","NA"
2012,"Birmingham","Redwing Grove, Erdington, B'ham","Redwing Grove, Erdington, B'ham","NA"
2012,"Birmingham","Redwing Grove, Erdington, B'ham","Redwing Grove, Erdington, B'ham","NA"
2012,"Birmingham","Redwing Grove, Erdington, B'ham","Redwing Grove, Erdington, B'ham","NA"
2012,"Birmingham","Redwing Grove, Erdington, B'ham","Redwing Grove, Erdington, B'ham","NA"
2012,"Birmingham","Redwing Grove, Erdington, B'ham","Redwing Grove, Erdington, B'ham","NA"
2012,"Birmingham","Redwing Grove, Erdington, B'ham","Redwing Grove, Erdington, B'ham","NA"
2012,"Birmingham","Reservoir rd erdington","Reservoir rd erdington","NA"
2012,"Birmingham","Reservoir rd erdington","Reservoir rd erdington","NA"
2012,"Birmingham","Reservoir rd erdington","Reservoir rd erdington","NA"
2012,"Birmingham","Reservoir rd erdington","Reservoir rd erdington","NA"
2012,"Birmingham","Reservoir rd erdington","Reservoir rd erdington","NA"
2012,"Birmingham","RESERVOIR ROAD","RESERVOIR ROAD","NA"
2012,"Birmingham","Ridgeway, Erdington","Ridgeway, Erdington","NA"
2012,"Birmingham","SC Town Centre","SC Town Centre","NA"
2012,"Birmingham","Short Heath Rd","Short Heath Rd","NA"
2012,"Birmingham","Slade Road","Slade Road","NA"
2012,"Birmingham","Slade Road","Slade Road","NA"
2012,"Birmingham","SOMERSET ROAD, ERDINGTON","SOMERSET ROAD, ERDINGTON","NA"
2012,"Birmingham","South Parade","South Parade","NA"
2012,"Birmingham","South Parade","South Parade","NA"
2012,"Birmingham","South Parade","South Parade","NA"
2012,"Birmingham","South Parade","South Parade","NA"
2012,"Birmingham","South Parade","South Parade","NA"
2012,"Birmingham","South Parade","South Parade","NA"
2012,"Birmingham","South parade Û Sutton Coldfield Town Centre","South parade Û Sutton Coldfield Town Centre","NA"
2012,"Birmingham","South parade O/s Moomoo","South parade O/s Moomoo","NA"
2012,"Birmingham","South parade S/C Town Centre","South parade S/C Town Centre","NA"
2012,"Birmingham","South Parade, Sutton Coldfield","South Parade, Sutton Coldfield","NA"
2012,"Birmingham","South Parade, Sutton Coldfield","South Parade, Sutton Coldfield","NA"
2012,"Birmingham","South Parade, Sutton Coldfield","South Parade, Sutton Coldfield","NA"
2012,"Birmingham","South Parade, Sutton Coldfield","South Parade, Sutton Coldfield","NA"
2012,"Birmingham","SOUTH PARADE, SUTTON COLDFIELD","SOUTH PARADE, SUTTON COLDFIELD","NA"
2012,"Birmingham","SOUTH PARADE, SUTTON COLDFIELD","SOUTH PARADE, SUTTON COLDFIELD","NA"
2012,"Birmingham","SOUTH PARADE, SUTTON COLDFIELD","SOUTH PARADE, SUTTON COLDFIELD","NA"
2012,"Birmingham","South Parade, Sutton Coldfield","South Parade, Sutton Coldfield","NA"
2012,"Birmingham","South Parade, Sutton Coldfield, Birmingham","South Parade, Sutton Coldfield, Birmingham","NA"
2012,"Birmingham","South Parades, Sutton Coldfield","South Parades, Sutton Coldfield","NA"
2012,"Birmingham","St Mary & St John Social Club, Gravelly Hill North","St Mary & St John Social Club, Gravelly Hill North","NA"
2012,"Birmingham","Sutton New Road","Sutton New Road","NA"
2012,"Birmingham","Sutton New Road, Erdington","Sutton New Road, Erdington","NA"
2012,"Birmingham","Sutton New Road, Erdington","Sutton New Road, Erdington","NA"
2012,"Birmingham","Sutton New Road, Erdington","Sutton New Road, Erdington","NA"
2012,"Birmingham","Sutton New Road, Erdington","Sutton New Road, Erdington","NA"
2012,"Birmingham","Sutton New Road, Erdington","Sutton New Road, Erdington","NA"
2012,"Birmingham","Sutton New Road, Erdington","Sutton New Road, Erdington","NA"
2012,"Birmingham","Sutton Town Centre","Sutton Town Centre","NA"
2012,"Birmingham","Sutton Town Centre","Sutton Town Centre","NA"
2012,"Birmingham","Sutton Town Centre","Sutton Town Centre","NA"
2012,"Birmingham","Sutton Town Centre","Sutton Town Centre","NA"
2012,"Birmingham","Sutton Town Centre","Sutton Town Centre","NA"
2012,"Birmingham","Sutton Town Centre","Sutton Town Centre","NA"
2012,"Birmingham","Sutton Town Centre","Sutton Town Centre","NA"
2012,"Birmingham","Sutton Town Centre","Sutton Town Centre","NA"
2012,"Birmingham","Sutton Town Centre","Sutton Town Centre","NA"
2012,"Birmingham","Sutton Town Centre","Sutton Town Centre","NA"
2012,"Birmingham","Sutton Town Centre","Sutton Town Centre","NA"
2012,"Birmingham","Sutton Town Centre","Sutton Town Centre","NA"
2012,"Birmingham","Sutton Town Centre outside Moo Moo's","Sutton Town Centre outside Moo Moo's","NA"
2012,"Birmingham","Sycamore Road, Erdingon","Sycamore Road, Erdingon","NA"
2012,"Birmingham","Tamworth Road, Sutton Coldfield","Tamworth Road, Sutton Coldfield","NA"
2012,"Birmingham","Tangmere Drive, castle vale","Tangmere Drive, castle vale","NA"
2012,"Birmingham","The Gardens, Erdington","The Gardens, Erdington","NA"
2012,"Birmingham","The Green House, Four Oaks, Birmingham","The Green House, Four Oaks, Birmingham","NA"
2012,"Birmingham","The Green House, Four Oaks, Sutton Coldfield","The Green House, Four Oaks, Sutton Coldfield","NA"
2012,"Birmingham","The Parade","The Parade","NA"
2012,"Birmingham","The Parade","The Parade","NA"
2012,"Birmingham","The Parade","The Parade","NA"
2012,"Birmingham","The Parade S/C","The Parade S/C","NA"
2012,"Birmingham","The Parade SuttonTown Centre","The Parade SuttonTown Centre","NA"
2012,"Birmingham","The Parade, Sutton Coldfield","The Parade, Sutton Coldfield","NA"
2012,"Birmingham","The Parade, Sutton Coldfield","The Parade, Sutton Coldfield","NA"
2012,"Birmingham","The Parade, Sutton Coldfield","The Parade, Sutton Coldfield","NA"
2012,"Birmingham","The parade, Sutton Coldfield","The parade, Sutton Coldfield","NA"
2012,"Birmingham","The Parade, Sutton Coldfield","The Parade, Sutton Coldfield","NA"
2012,"Birmingham","The parade, Sutton Coldfield","The parade, Sutton Coldfield","NA"
2012,"Birmingham","The Parade, Sutton Coldfield","The Parade, Sutton Coldfield","NA"
2012,"Birmingham","The Parade, Sutton Coldfield","The Parade, Sutton Coldfield","NA"
2012,"Birmingham","The Parade, Sutton Coldfield.","The Parade, Sutton Coldfield.","NA"
2012,"Birmingham","The Wylde Green Public House","The Wylde Green Public House","NA"
2012,"Birmingham","Turnhouse Road, Castle Vale","Turnhouse Road, Castle Vale","NA"
2012,"Birmingham","UNKNOWN","UNKNOWN","NA"
2012,"Birmingham","Victoria Road, Sutton Coldfield","Victoria Road, Sutton Coldfield","NA"
2012,"Birmingham","Walmley ash rd","Walmley ash rd","NA"
2012,"Birmingham","Water Orton Lane","Water Orton Lane","NA"
2012,"Birmingham","William Hill, Wylde Green","William Hill, Wylde Green","NA"
2012,"Birmingham","WITTON LODGE ROAD","WITTON LODGE ROAD","NA"
2012,"Birmingham","Woodacre Road, Erdington","Woodacre Road, Erdington","NA"
2012,"Birmingham","Woodacre Road, Erdington","Woodacre Road, Erdington","NA"
2012,"Birmingham","Woodacre Road, Erdington","Woodacre Road, Erdington","NA"
2012,"Birmingham","Woodington Road","Woodington Road","NA"
2012,"Birmingham","Wootton Grove, Kingstanding, Birmingham","Wootton Grove, Kingstanding, Birmingham","NA"
2012,"Birmingham","Yatesbury Avenue, Castle Vale","Yatesbury Avenue, Castle Vale","NA"
2012,"Birmingham","A38 Northfield","A38 Northfield","NA"
2012,"Birmingham","Abdon Ave","Abdon Ave","NA"
2012,"Birmingham","Alcester Rd","Alcester Rd","NA"
2012,"Birmingham","Alcester road south","Alcester road south","NA"
2012,"Birmingham","Aldersmead road","Aldersmead road","NA"
2012,"Birmingham","Alwold road","Alwold road","NA"
2012,"Birmingham","Belgrave middleway","Belgrave middleway","NA"
2012,"Birmingham","Black horse public house carpark","Black horse public house carpark","NA"
2012,"Birmingham","Boleyn road","Boleyn road","NA"
2012,"Birmingham","Bomerfield road","Bomerfield road","NA"
2012,"Birmingham","Bond st, City Centre","Bond st, City Centre","NA"
2012,"Birmingham","Bournville Lane","Bournville Lane","NA"
2012,"Birmingham","Bournville Lane","Bournville Lane","NA"
2012,"Birmingham","Bournville Lane Front office","Bournville Lane Front office","NA"
2012,"Birmingham","Bournville lane police station","Bournville lane police station","NA"
2012,"Birmingham","Bournville p.s.","Bournville p.s.","NA"
2012,"Birmingham","Bournville police station","Bournville police station","NA"
2012,"Birmingham","Braceby avenue","Braceby avenue","NA"
2012,"Birmingham","Brandwood park rd","Brandwood park rd","NA"
2012,"Birmingham","Bristol Rd South, Northfield","Bristol Rd South, Northfield","NA"
2012,"Birmingham","Bristol Road","Bristol Road","NA"
2012,"Birmingham","Bristol Road","Bristol Road","NA"
2012,"Birmingham","Bristol road","Bristol road","NA"
2012,"Birmingham","Bristol road","Bristol road","NA"
2012,"Birmingham","Bristol Road","Bristol Road","NA"
2012,"Birmingham","Bristol Road","Bristol Road","NA"
2012,"Birmingham","Bristol road","Bristol road","NA"
2012,"Birmingham","Bristol road","Bristol road","NA"
2012,"Birmingham","Bristol road","Bristol road","NA"
2012,"Birmingham","Bristol Road Northfield","Bristol Road Northfield","NA"
2012,"Birmingham","Bristol road opposite royal orthopaedic","Bristol road opposite royal orthopaedic","NA"
2012,"Birmingham","Bristol Road Selly Oak","Bristol Road Selly Oak","NA"
2012,"Birmingham","Bristol Road selly Oak","Bristol Road selly Oak","NA"
2012,"Birmingham","Bristol Road Selly Oak","Bristol Road Selly Oak","NA"
